author,date,source,summary,title,url
Fox News,23/09/2017,fox-news,"Fox News Conservative Catholics accuse pope of spreading heresy Fox News More than 60 Roman Catholic theologians, priests and academics have formally accused Pope Francis of spreading heresy after the pontiff opened the door last year to allowing divorced and…",Conservative Catholics accuse pope of spreading heresy - Fox News,http://www.foxnews.com/world/2017/09/23/conservative-catholics-accuse-pope-spreading-heresy.html
Fox News,23/09/2017,fox-news,"Charles Bradley, known as the ""Screaming Eagle of Soul"" for a powerful, raspy style that evoked one of his musical heroes, James Brown, died Saturday at age 68.",Soul singer Charles Bradley dead at 68,http://www.foxnews.com/entertainment/2017/09/23/soul-singer-charles-bradley-dead-at-68.html
Associated Press,23/09/2017,fox-news,Carmelo Anthony won't be at Knicks training camp after all.,New York Knicks trade Carmelo Anthony to Oklahoma City,http://www.foxnews.com/sports/2017/09/23/new-york-knicks-trade-carmelo-anthony-to-oklahoma-city.html
Fox News,23/09/2017,fox-news,"The help-seeking voicemails from a nursing home where 11 people died during Hurricane Irma have been deleted from Florida Gov. Rick Scott’s cell phone, according to a report.","Voicemails from nursing home where patients died deleted from Florida governor's phone, report says",http://www.foxnews.com/politics/2017/09/23/voicemails-from-nursing-home-where-patients-died-deleted-from-florida-governors-phone-report-says.html
Associated Press,23/09/2017,fox-news,"Fox News British star Colin Firth becomes Italian citizen following Brexit decision Fox News In this Monday, May 16, 2016 file photo, actor Colin Firth poses for photographers upon arrival at the screening of the film Loving at the 69th international film fes…",British star Colin Firth becomes Italian citizen following Brexit decision - Fox News,http://www.foxnews.com/entertainment/2017/09/23/british-star-colin-firth-becomes-italian-citizen-following-brexit-decision.html
Associated Press,23/09/2017,fox-news,"Fox News Prince Harry, Melania Trump meet ahead of Invictus Games Fox News They stood together and smiled for the British and American news media before sitting in adjoining club chairs placed in front of their countries' respective flags. Harry remarked on h…","Prince Harry, Melania Trump meet ahead of Invictus Games - Fox News",http://www.foxnews.com/world/2017/09/23/prince-harry-melania-trump-meet-ahead-invictus-games.html
Fox News,23/09/2017,fox-news,A New Mexico school board is planning to recite the Pledge of Allegiance in Spanish at public meetings starting next week.,New Mexico school board to recite Pledge of Allegiance in Spanish at meetings,http://www.foxnews.com/us/2017/09/23/new-mexico-school-board-to-recite-pledge-allegiance-in-spanish-at-meetings.html
Associated Press,23/09/2017,fox-news,"A French paratrooper has died in combat while fighting extremists in the Mideast as part of the U.S.-led coalition against the Islamic State group, in what appears to be the first official French casualty in the operation.",Paratrooper becomes 1st French casualty in anti-IS coalition,http://www.foxnews.com/world/2017/09/23/paratrooper-becomes-1st-french-casualty-in-anti-is-coalition.html
Fox News,23/09/2017,fox-news,An Iraq combat veteran in North Carolina is being hailed a hero for helping rescue a woman from a burning car just before it exploded.,Iraq combat vet pulls woman from burning car just before it explodes,http://www.foxnews.com/us/2017/09/23/iraq-combat-vet-pulls-woman-from-burning-car-just-before-it-explodes.html
Fox News,23/09/2017,fox-news,Former White House adviser Steve Bannon will head to Alabama to campaign for Roy Moore – the Christian conservative who is running against the candidate endorsed by President Trump in the state’s Republican Senate race.,Steve Bannon to travel to Alabama to campaign against Trump-endorsed candidate,http://www.foxnews.com/politics/2017/09/23/steve-bannon-to-travel-to-alabama-to-campaign-against-trump-endorsed-candidate.html
Fox News,23/09/2017,fox-news,"Fox News North Korea says strike on US is 'inevitable' as Pentagon flies bombers off coast Fox News North Korea's foreign minister called U.S. President Donald Trump ""a mentally deranged person full of megalomania"" and promised a strike on the American mainla…",North Korea says strike on US is 'inevitable' as Pentagon flies bombers off coast - Fox News,http://www.foxnews.com/world/2017/09/23/north-korea-says-strike-on-us-is-inevitable-as-pentagon-flies-bombers-off-coast.html
Fox News,23/09/2017,fox-news,"Fox News UC Berkeley student group cancels 'Free Speech Week' event Fox News A group has put up flyers and a booth on Sproul Plaza calling for protesters to ""Shut Down Milo Yiannopoulos,"" at the University of California, Berkeley. (AP Photo/Jocelyn Gecker). C…",UC Berkeley student group cancels 'Free Speech Week' event - Fox News,http://www.foxnews.com/us/2017/09/23/uc-berkeley-says-free-speech-week-event-canceled.html
Fox News,24/09/2017,fox-news,"Pittsburgh Steelers player Alejandro Villanueva stood tall on Sunday for the national anthem, even though his teammates were off the field and out of sight. The 6'9” former Army Ranger, one of the NFL's tallest players, stood outside with his hand over his he…",Army veteran Alejandro Villanueva is sole Steelers player to stand outside for national anthem,http://www.foxnews.com/sports/2017/09/24/army-veteran-alejandro-villanueva-is-sole-steelers-player-to-stand-outside-for-national-anthem.html
Fox News,24/09/2017,fox-news,"A young church usher who confronted the suspect accused of opening fire at a church in Antioch, Tenn., on Sunday, is a “hero,” according to police -- and his family says that's no surprise at all.",Tennessee church usher who stopped gunman is hailed as 'hero',http://www.foxnews.com/us/2017/09/24/tennessee-church-usher-who-stopped-gunman-is-hailed-as-hero.html
Associated Press,24/09/2017,fox-news,"Fox News Defense attorney for Oklahoma City bomber dead at 57 Fox News TULSA, Okla. – Rob Nigh, a defense attorney who represented Oklahoma City bomber Timothy McVeigh and witnessed his 2001 execution, died Sunday after a battle with cancer, former colleagues…",Defense attorney for Oklahoma City bomber dead at 57 - Fox News,http://www.foxnews.com/us/2017/09/24/defense-attorney-for-oklahoma-city-bomber-dead-at-57.html
Associated Press,24/09/2017,fox-news,"1 dead, several stabbed in California prison riot Fox News SAN LUIS OBISPO, Calif. – An inmate was killed and several others were stabbed Sunday in a riot involving more than 160 inmates at a prison on California's central coast, authorities said. The melee b…","1 dead, several stabbed in California prison riot - Fox News",http://www.foxnews.com/us/2017/09/24/1-dead-several-stabbed-in-california-prison-riot.html
Fox News,24/09/2017,fox-news,"Fox News Milo Yiannopoulos holds small Berkeley rally after Free Speech Week nixed Fox News Yiannopoulos said he was blindsided and ""personally irritated"" by the news, but he insisted on holding a rally with fellow rightwing commentators Sunday. ""We are going…",Milo Yiannopoulos holds small Berkeley rally after Free Speech Week nixed - Fox News,http://www.foxnews.com/us/2017/09/24/right-wing-firebrand-vows-to-hold-rally-at-uc-berkeley.html
Fox News,24/09/2017,fox-news,"The core of Hurricane Maria, a Category 2 storm, was ""slightly weaker as it moves northward,"" the National Hurricane Center said late Sunday afternoon.",Hurricane Maria's path: Track the storm here,http://www.foxnews.com/us/2017/09/24/hurricane-marias-path-track-storm-here.html
